CustomerID,CarID,CarColor,Date
447994,210,Pflaumenblau,05.05.1968
485010,276,Kaktusgruen,09.09.1939
852968,279,Lavendel,14.08.2012
885504,240,Muschelrosa,27.07.2022
162265,116,Pflaumenblau,18.10.1985
562941,251,Lavendel,10.04.2002
502741,81,Lavendel,19.03.1988
305230,190,Terrakotta,24.07.1937
775255,208,Kaktusgruen,11.02.1937
705940,313,Limettengruen,07.07.1975
799435,297,Ziegelrot,25.01.2003
340405,219,Karminrot,14.07.1997
533020,254,Karminrot,26.08.1985
523721,84,Beige,03.05.1987
107693,299,Hellblau,14.10.1946
391342,161,Pfirsich,26.03.1976
120854,0,Vanille,16.05.1936
861434,187,Salbeigruen,17.11.1984
624728,119,Saharasand,01.10.1929
17024,92,Himmelgrau,20.07.1954
932937,291,Kobaltgruen,08.11.1978
812154,120,Minzgruen,19.01.1997
268913,267,Kupfer,27.03.1981
521269,91,Elfenbein,24.11.1938
79664,313,Grau,17.09.1976
955510,302,Stahlblau,23.09.1973
703111,176,Senf,19.05.1978
134619,106,Feuerrot,24.03.1973
612991,204,Rot,17.03.1973
464693,284,Mitternachtsblau,15.09.1954
181450,76,Terrakotta,02.08.1956
248780,173,Schwarz,26.03.1978
107314,225,Koralle,06.09.1927
147117,332,Feuerrot,14.02.1970
91060,77,Vanille,04.04.1936
558431,235,Pergament,21.09.1964
985538,62,Dunkelblau,26.10.1947
225343,333,Schiefergrau,16.03.2018
446776,282,Olivgruen,23.07.1998
12515,16,Pink,11.04.1979
817290,77,Koralle,01.08.2021
455204,199,Muschelrosa,06.04.1969
967714,368,Indigo,22.11.2022
997450,347,Ziegelrot,19.01.1942
681420,310,Saharasand,23.11.1953
351590,30,Rot,22.09.1990
532298,364,Mint,08.07.2019
60507,232,Himbeerpink,18.03.1966
381120,67,Pergament,27.06.1966
868324,33,Henna,08.01.1953
334535,145,Mokka,02.10.1964
427608,250,Jagdgruen,14.02.1935
190316,311,Vanille,10.02.1962
439005,272,Granatrot,19.10.1924
189215,352,Weiss,13.07.2000
332338,147,Terrakotta,08.05.2002
492240,80,Gold,22.04.1926
914506,266,Karminrot,16.07.2016
261435,290,Indigo,21.11.2001
457307,285,Azurblau,20.07.1959
924150,350,Indigo,05.06.1962
891482,204,Aquamarin,01.05.1952
566423,321,Bernstein,21.02.1956
661511,200,Hellgruen,13.04.1983
875777,256,Stahlblau,05.09.1981
293474,46,Braun,02.04.1929
2892,106,Kupfer,26.11.1971
445380,344,Orange,03.04.1929
983480,82,Schokoladenbraun,12.11.1994
594373,145,Tannengruen,24.04.1940
322586,349,Hellblau,04.04.1997
258353,197,Himmelblau,23.04.1968
2573,366,Nussbraun,10.10.1958
531066,173,Jagdgruen,11.05.2000
566335,328,Rubinrot,27.02.1999
173359,300,Ozeanblau,10.10.1956
155891,218,Nussbraun,16.05.1939
590049,108,Bernstein,02.11.1949
796871,187,Senf,04.03.1948
675386,26,Schwarz,19.10.1930
427404,2,Lila,27.06.1923
850649,46,Azurblau,27.03.1960
450367,348,Violett,13.08.1966
836107,120,Kirschrot,06.08.1945
137948,272,Schokoladenbraun,19.07.1969
822621,167,Korallenrot,17.04.1944
366673,251,Orchidee,23.11.1985
782101,22,Hellgruen,17.06.1939
736415,291,Kobaltblau,18.04.1946
233617,38,Gelb,09.09.1953
845295,81,Smaragdgruen,20.02.1953
278503,357,Stahlblau,17.06.1965
826986,280,Hellgruen,18.04.1929
160460,82,Saharasand,08.07.1983
513969,300,Ziegelrot,01.11.1990
970664,363,Grau,22.06.2020
191851,370,Limettengruen,01.08.1950
645214,191,Mint,15.10.2002
922830,314,Kirschrot,06.04.2014
388181,138,Mint,25.09.1944
424389,45,Sonnengelb,11.09.2003
431438,232,Zartrosa,17.02.2000
425628,245,Amethyst,15.04.1932
460277,340,Himmelblau,17.11.1949
60235,49,Wasserblau,08.01.1945
214862,238,Olivgruen,27.08.1969
515723,232,Senf,06.07.1938
835449,56,Tannengruen,20.11.1938
120150,347,Schokoladenbraun,03.07.1968
521051,98,Jagdgruen,24.08.2006
665400,373,Rot,03.03.1932
523228,277,Weiss,09.10.1930
964579,133,Scharlachrot,22.02.2011
804473,110,Silber,16.04.1926
385496,248,Granatrot,21.06.2012
44555,169,Zitronengelb,05.04.1935
51356,293,Nussbraun,20.07.1925
833049,260,Zinnoberrot,22.02.1925
912879,27,Zartrosa,01.08.2003
471065,193,Gelb,01.08.2005
166433,247,Olivgruen,02.07.1928
851248,267,Maisgelb,04.06.1984
60174,137,Zinnoberrot,13.04.1973
917996,145,Graphitgrau,15.02.2006
502583,247,Himbeerpink,04.01.2018
81149,69,Beige,20.11.2012
372947,86,Rubinrot,01.09.2016
686933,352,Schokoladenbraun,12.05.1981
232149,341,Orchidee,09.10.1952
701947,135,Bronze,08.03.2011
744802,313,Magenta,10.06.1945
162348,222,Karminrot,07.07.1993
887142,121,Beige,19.02.2005
382227,248,Amethyst,19.04.1983
276149,276,Himbeerpink,17.08.1929
556509,195,Dunkelgruen,08.05.1929
506335,346,Feuerrot,14.01.2022
327755,264,Gelb,21.04.1957
14881,187,Korallenrot,07.09.2018
919274,373,Rosa,07.11.1946
370971,20,Saharasand,23.06.2017
793154,24,Minzgruen,02.09.1959
664984,77,Schokoladenbraun,04.06.1991
356407,19,Sonnengelb,18.09.1983
122763,321,Senf,27.09.2021
9178,227,Sonnengelb,20.09.1977
701134,317,Pink,10.08.1997
74489,337,Smaragd,11.09.1975
819186,356,Mint,27.04.1930
880073,198,Gelb,08.06.1941
87501,326,Bernstein,19.01.1942
452949,290,Blaugruen,10.11.2016
441236,3,Rubinrot,12.10.1939
10387,134,Henna,10.10.1949
536005,80,Tuerkis,25.06.1998
537521,16,Ozeanblau,02.03.1964
520953,259,Grau,24.04.1950
43755,44,Smaragdgruen,09.03.1997
897273,48,Pfauenblau,06.01.1963
884562,376,Marineblau,03.09.2017
140331,246,Smaragdgruen,03.05.1993
407378,62,Saphirblau,22.05.1995
410781,229,Kieselgrau,14.06.1935
120771,192,Muschelrosa,03.11.2017
909669,32,Kupfer,15.09.1996
781029,263,Purpurrot,05.08.1932
644713,211,Tannengruen,18.04.1932
45144,14,Elfenbein,09.07.1932
844180,197,Hellgruen,23.10.1923
944158,332,Mokka,01.02.1928
350083,235,Eisblau,23.02.1989
70893,160,Indigo,09.01.2020
455539,245,Himbeerpink,15.11.1950
245277,374,Schneeweiss,04.09.2020
504564,75,Pergament,10.06.1999
544501,261,Silber,17.07.1956
67310,169,Himbeerpink,22.08.1978
602308,369,Blaugruen,10.09.1985
69822,20,Kaktusgruen,23.10.1925
465885,222,Rosa,05.05.2021
495072,37,Malachitgruen,21.11.1972
438499,123,Pergament,21.04.1980
687512,300,Dunkelgrau,10.02.1949
979338,219,Smaragdgruen,06.09.1949
102527,197,Dunkelgrau,11.10.1943
946685,134,Jagdgruen,04.01.1960
406376,363,Jagdgruen,15.03.1937
153323,132,Eisblau,25.02.1998
89116,59,Peridotgruen,01.02.1927
288743,48,Schneeweiss,12.01.2019
750603,193,Blau,01.10.1966
847284,211,Lavendel,11.08.1991
664858,0,Rot,24.05.1976
905375,354,Mitternachtsblau,02.01.2013
660090,231,Nussbraun,03.08.1959
589074,32,Zitronengelb,25.08.2012
562978,52,Salbeigruen,08.01.1959
876811,7,Koenigsblau,06.09.1959
92299,367,Saphirblau,01.03.1938
120289,114,Kirschrot,05.09.1926
796531,121,Weiss,26.05.2015
526007,253,Schwarz,21.02.1979
406938,102,Hellblau,15.02.2002
92643,315,Blaugruen,20.09.1988
86996,253,Dunkelblau,24.05.2009
13005,273,Smaragdgruen,07.07.1938
279207,18,Muschelrosa,24.04.1979
25549,280,Karminrot,02.07.1953
224171,361,Schneeweiss,19.10.1951
486018,282,Tuerkis,14.04.2006
332775,29,Kobaltblau,26.08.1931
95535,377,Tuerkis,23.02.2021
759086,144,Moosgruen,01.10.1972
774467,80,Dunkelblau,13.11.1947
493801,314,Zinnoberrot,26.01.1946
647236,306,Bernstein,26.09.1978
117179,38,Tannengruen,18.07.1937
