207130,4,Maisgelb,04.08.1937
965570,8,Himmelgrau,09.11.2005
914201,107,Ozeanblau,10.02.1928
696205,349,Salbeigruen,19.07.1950
870800,232,Minzgruen,01.07.2011
173635,248,Stahlblau,11.03.1932
685573,259,Orange,07.05.1956
214976,190,Henna,03.05.1944
504803,311,Lavendel,26.04.1943
228316,90,Gold,03.07.1958
884121,83,Saharasand,06.04.1969
189280,165,Senf,04.02.1959
695688,202,Scharlachrot,27.11.1960
6676,312,Koenigsblau,27.08.2021
25690,97,Olivgruen,05.06.1963
38908,196,Muschelrosa,07.04.1940
810765,68,Peridotgruen,04.04.1975
682564,334,Marineblau,01.07.1990
332464,224,Orchidee,07.04.1959
995229,197,Orchidee,02.11.1952
847641,272,Dunkelgruen,18.02.2008
770339,60,Feuerrot,09.04.1982
757501,35,Gold,20.09.2000
548889,72,Rubinrot,14.05.2022
120795,174,Tuerkis,01.04.1990
140878,225,Pink,18.06.1966
58021,188,Karminrot,08.10.1931
857788,292,Mokka,22.11.1927
438493,8,Saphirblau,22.05.2018
651313,78,Purpurrot,09.07.1982
642454,176,Moosgruen,16.09.2022
117431,372,Lavendel,12.01.1961
609039,356,Schneeweiss,27.11.2004
371345,191,Koralle,15.04.2007
483694,377,Schokoladenbraun,09.03.1935
286885,270,Aprikose,01.04.2005
897669,273,Rubinrot,15.10.1936
601648,163,Sahne,15.05.1967
270901,123,Maisgelb,12.10.2016
992049,243,Kobaltblau,22.06.1950
77360,199,Dunkelblau,07.11.1990
787066,232,Pink,13.05.2005
433820,63,Pfauenblau,25.06.1947
86354,239,Eisblau,13.05.1935
846178,153,Kaktusgruen,16.04.1986
227944,83,Dunkelgrau,01.09.1977
811077,281,Kobaltgruen,08.09.1928
309793,309,Sonnengelb,12.05.1995
590325,47,Schlamm,17.02.1939
989850,4,Schwarz,22.02.1979
841074,290,Maisgelb,05.01.1966
438423,141,Henna,26.07.1975
22154,86,Lila,06.07.1951
722939,278,Schwarz,08.07.2012
586125,17,Graphitgrau,01.07.1938
889742,265,Saphirblau,15.02.1954
563681,113,Ozeanblau,26.03.1962
968607,368,Maisgelb,26.10.2019
411433,111,Kobaltgruen,08.09.1933
748894,248,Blaugruen,13.08.1929
861032,351,Lila,08.09.1971
835015,289,Bronze,22.03.1989
92954,330,Blaugruen,23.09.1971
420061,220,Limettengruen,19.01.1946
